ВЕДОМОСТЬ ИЗМЕРЕНИЙ И ПОПРАВОК
================================================================================

№     Тип                  От              До              Значение     Поправка    
--------------------------------------------------------------------------------
1     direction            gr3.1           Z11             163.2157     -           
2     slope_distance       gr3.1           Z11             325.7055     -           
3     direction            gr3.1           Z11             163.2159     -           
4     slope_distance       gr3.1           Z11             326.6993     -           
5     direction            gr3.1           Z12             187.4427     -           
6     slope_distance       gr3.1           Z12             1.7683       -           
7     direction            gr3.1           Z13             219.8885     -           
8     slope_distance       gr3.1           Z13             14.6898      -           
9     direction            gr3.1           Z13             219.8991     -           
10    slope_distance       gr3.1           Z13             194.6898     -           
11    direction            gr3.1           Z12             187.4493     -           
12    slope_distance       gr3.1           Z12             181.7684     -           
13    direction            gr3.1           Z11             163.2146     -           
14    slope_distance       gr3.1           Z11             146.6995     -           
15    direction            gr3.1           GR4             167.2658     -           
16    slope_distance       gr3.1           GR4             65.7744      -           
17    direction            gr3.1           gr2.1           109.2701     -           
18    slope_distance       gr3.1           gr2.1           244.5861     -           
19    direction            gr3.1           gr2.1           109.2699     -           
20    slope_distance       gr3.1           gr2.1           64.5858      -           
21    direction            gr3.1           GR4             167.2663     -           
22    slope_distance       gr3.1           GR4             245.7741     -           
23    direction            gr3.1           GR4             167.2665     -           
24    slope_distance       gr3.1           GR4             65.7743      -           
25    direction            gr3.1           gr2.1           109.2699     -           
26    slope_distance       gr3.1           gr2.1           244.5859     -           
27    direction            gr3.1           gr2.1           109.2699     -           
28    slope_distance       gr3.1           gr2.1           64.5857      -           
29    direction            gr3.1           GR4             167.2660     -           
30    slope_distance       gr3.1           GR4             245.7741     -           
31    direction            gr3.1           Z5              215.5985     -           
32    slope_distance       gr3.1           Z5              281.1535     -           
33    direction            gr3.1           Z10             185.0751     -           
34    slope_distance       gr3.1           Z10             302.9143     -           
35    direction            gr3.1           Z10             185.0685     -           
36    slope_distance       gr3.1           Z10             122.9172     -           
37    direction            gr3.1           Z5              215.5847     -           
38    slope_distance       gr3.1           Z5              101.1558     -           
39    direction            gr3.1           Z4              471.0757     -           
40    slope_distance       gr3.1           Z4              272.8261     -           
41    direction            gr3.1           Z11             163.2160     -           
42    slope_distance       gr3.1           Z11             326.7027     -           
43    direction            gr3.1           Z12             187.4430     -           
44    slope_distance       gr3.1           Z12             1.7720       -           
45    direction            gr3.1           Z13             219.8884     -           
46    slope_distance       gr3.1           Z13             14.6934      -           
47    direction            gr3.1           Z14             274.8440     -           
48    slope_distance       gr3.1           Z14             26.4455      -           
49    direction            gr3.1           Z14             274.8535     -           
50    slope_distance       gr3.1           Z14             206.4455     -           
51    direction            gr3.1           Z13             219.8985     -           
52    slope_distance       gr3.1           Z13             194.6932     -           
53    direction            gr3.1           Z12             187.4479     -           
54    slope_distance       gr3.1           Z12             181.7713     -           
55    direction            gr3.1           Z11             163.2147     -           
56    slope_distance       gr3.1           Z11             146.7026     -           
57    direction            gr3.1           Z4              471.0724     -           
58    slope_distance       gr3.1           Z4              92.8247      -           
59    direction            gr3.1           Z4              471.0754     -           
60    slope_distance       gr3.1           Z4              272.8268     -           
61    direction            gr3.1           Z5              215.5955     -           
62    slope_distance       gr3.1           Z5              281.1567     -           
63    direction            gr3.1           Z10             185.0777     -           
64    slope_distance       gr3.1           Z10             302.9151     -           
65    direction            gr3.1           Z11             163.2163     -           
66    slope_distance       gr3.1           Z11             326.7021     -           
67    direction            gr3.1           Z12             187.4435     -           
68    slope_distance       gr3.1           Z12             1.7720       -           
69    direction            gr3.1           Z13             219.8879     -           
70    slope_distance       gr3.1           Z13             14.6931      -           
71    direction            gr3.1           Z14             274.8445     -           
72    slope_distance       gr3.1           Z14             26.4461      -           
73    direction            gr3.1           Z14             274.8492     -           
74    slope_distance       gr3.1           Z14             206.4442     -           
75    direction            gr3.1           Z13             219.8988     -           
76    slope_distance       gr3.1           Z13             194.6932     -           
77    direction            gr3.1           Z12             187.4488     -           
78    slope_distance       gr3.1           Z12             181.7715     -           
79    direction            gr3.1           Z11             163.2144     -           
80    slope_distance       gr3.1           Z11             146.7026     -           
81    direction            gr3.1           Z10             185.0694     -           
82    slope_distance       gr3.1           Z10             122.9160     -           
83    direction            gr3.1           Z5              215.5890     -           
84    slope_distance       gr3.1           Z5              101.1534     -           
85    direction            gr3.1           Z4              471.0726     -           
86    slope_distance       gr3.1           Z4              92.8239      -           
87    direction            gr3.1           gr2.1           109.2699     -           
88    slope_distance       gr3.1           gr2.1           244.5888     -           
89    direction            gr3.1           GR4             167.2663     -           
90    slope_distance       gr3.1           GR4             65.7771      -           
91    direction            gr3.1           GR4             167.2667     -           
92    slope_distance       gr3.1           GR4             245.7770     -           
93    direction            gr3.1           gr2.1           109.2701     -           
94    slope_distance       gr3.1           gr2.1           64.5886      -           
95    direction            gr3.1           gr2.1           109.2699     -           
96    slope_distance       gr3.1           gr2.1           244.5888     -           
97    direction            gr3.1           GR4             167.2662     -           
98    slope_distance       gr3.1           GR4             65.7774      -           
99    direction            gr3.1           GR4             167.2662     -           
100   slope_distance       gr3.1           GR4             245.7772     -           

... и еще 1880 измерений
